XFOIL & experimental polar
Polar key
Airfoil,DU21_A17
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-60,-0.693,1.0919,0,0.2722,0,0
-55,-0.764,1.0002,0,0.2545,0,0
-50,-0.82,0.899,0,0.2359,0,0
-45,-0.857,0.79,0,0.2163,0,0
-40,-0.875,0.6754,0,0.1958,0,0
-35,-0.869,0.5579,0,0.1744,0,0
-30,-0.838,0.4405,0,0.152,0,0
-25,-0.791,0.3256,0,0.1262,0,0
-24,-0.794,0.3013,0,0.117,0,0
-23,-0.805,0.2762,0,0.1059,0,0
-22,-0.821,0.2506,0,0.0931,0,0
-21,-0.843,0.2246,0,0.0788,0,0
-20,-0.869,0.1983,0,0.0631,0,0
-19,-0.899,0.172,0,0.0464,0,0
-18,-0.931,0.1457,0,0.0286,0,0
-17,-0.964,0.1197,0,0.0102,0,0
-16,-0.999,0.094,0,-0.0088,0,0
-15,-1.033,0.0689,0,-0.0281,0,0
-14.5,-1.05,0.0567,0,-0.0378,0,0
-12.01,-0.953,0.0271,0,-0.0349,0,0
-11,-0.9,0.0303,0,-0.0361,0,0
-9.98,-0.827,0.0287,0,-0.0464,0,0
-8.12,-0.536,0.0124,0,-0.0821,0,0
-7.62,-0.467,0.0109,0,-0.0924,0,0
-7.11,-0.393,0.0092,0,-0.1015,0,0
-6.6,-0.323,0.0083,0,-0.1073,0,0
-6.5,-0.311,0.0089,0,-0.1083,0,0
-6,-0.245,0.0082,0,-0.1112,0,0
-5.5,-0.178,0.0074,0,-0.1146,0,0
-5,-0.113,0.0069,0,-0.1172,0,0
-4.5,-0.048,0.0065,0,-0.1194,0,0
-4,0.016,0.0063,0,-0.1213,0,0
-3.5,0.08,0.0061,0,-0.1232,0,0
-3,0.145,0.0058,0,-0.1252,0,0
-2.5,0.208,0.0057,0,-0.1268,0,0
-2,0.27,0.0057,0,-0.1282,0,0
-1.5,0.333,0.0057,0,-0.1297,0,0
-1,0.396,0.0057,0,-0.131,0,0
-0.5,0.458,0.0057,0,-0.1324,0,0
0,0.521,0.0057,0,-0.1337,0,0
0.5,0.583,0.0057,0,-0.135,0,0
1,0.645,0.0058,0,-0.1363,0,0
1.5,0.706,0.0058,0,-0.1374,0,0
2,0.768,0.0059,0,-0.1385,0,0
2.5,0.828,0.0061,0,-0.1395,0,0
3,0.888,0.0063,0,-0.1403,0,0
3.5,0.948,0.0066,0,-0.1406,0,0
4,0.996,0.0071,0,-0.1398,0,0
4.5,1.046,0.0079,0,-0.139,0,0
5,1.095,0.009,0,-0.1378,0,0
5.5,1.145,0.0103,0,-0.1369,0,0
6,1.192,0.0113,0,-0.1353,0,0
6.5,1.239,0.0122,0,-0.1338,0,0
7,1.283,0.0131,0,-0.1317,0,0
7.5,1.324,0.0139,0,-0.1291,0,0
8,1.358,0.0147,0,-0.1249,0,0
8.5,1.385,0.0158,0,-0.1213,0,0
9,1.403,0.0181,0,-0.1177,0,0
9.5,1.401,0.0211,0,-0.1142,0,0
10,1.358,0.0255,0,-0.1103,0,0
10.5,1.313,0.0301,0,-0.1066,0,0
11,1.287,0.0347,0,-0.1032,0,0
11.5,1.274,0.0401,0,-0.1002,0,0
12,1.272,0.0468,0,-0.0971,0,0
12.5,1.273,0.0545,0,-0.094,0,0
13,1.273,0.0633,0,-0.0909,0,0
13.5,1.273,0.0722,0,-0.0883,0,0
14,1.272,0.0806,0,-0.0865,0,0
14.5,1.273,0.09,0,-0.0854,0,0
15,1.275,0.0987,0,-0.0849,0,0
15.5,1.281,0.1075,0,-0.0847,0,0
16,1.284,0.117,0,-0.085,0,0
16.5,1.296,0.127,0,-0.0858,0,0
17,1.306,0.1368,0,-0.0869,0,0
17.5,1.308,0.1464,0,-0.0883,0,0
18,1.308,0.1562,0,-0.0901,0,0
18.5,1.308,0.1664,0,-0.0922,0,0
19,1.308,0.177,0,-0.0949,0,0
19.5,1.307,0.1878,0,-0.098,0,0
20,1.311,0.1987,0,-0.1017,0,0
20.5,1.325,0.21,0,-0.1059,0,0
21,1.324,0.2214,0,-0.1105,0,0
22,1.277,0.2499,0,-0.1172,0,0
23,1.229,0.2786,0,-0.1239,0,0
24,1.182,0.3077,0,-0.1305,0,0
25,1.136,0.3371,0,-0.137,0,0
26,1.093,0.3664,0,-0.1433,0,0
28,1.017,0.4246,0,-0.1556,0,0
30,0.962,0.4813,0,-0.1671,0,0
32,0.937,0.5356,0,-0.1778,0,0
35,0.947,0.6127,0,-0.1923,0,0
40,0.95,0.7396,0,-0.2154,0,0
45,0.928,0.8623,0,-0.2374,0,0
50,0.884,0.9781,0,-0.2583,0,0
55,0.821,1.0846,0,-0.2782,0,0
60,0.74,1.1796,0,-0.2971,0,0
