XFOIL & experimental polar
Polar key
Airfoil,DU30_A17
Reynolds number,750000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-180.00,0.0,0.0267,0.0,0.0,0.0,0.0
-175.00,0.2736,0.037,0.0,0.1379,0.0,0.0
-170.00,0.5472,0.0968,0.0,0.2778,0.0,0.0
-160.00,0.6854,0.2876,0.0,0.274,0.0,0.0
-155.00,0.7661,0.4025,0.0,0.3118,0.0,0.0
-150.00,0.8155,0.5232,0.0,0.3411,0.0,0.0
-145.00,0.8364,0.6454,0.0,0.3631,0.0,0.0
-140.00,0.8315,0.7656,0.0,0.3791,0.0,0.0
-135.00,0.8037,0.8807,0.0,0.3899,0.0,0.0
-130.00,0.7555,0.9882,0.0,0.3965,0.0,0.0
-125.00,0.6897,1.0861,0.0,0.3994,0.0,0.0
-120.00,0.6088,1.173,0.0,0.3992,0.0,0.0
-115.00,0.5152,1.2474,0.0,0.3964,0.0,0.0
-110.00,0.4114,1.3084,0.0,0.3915,0.0,0.0
-105.00,0.2997,1.3552,0.0,0.3846,0.0,0.0
-100.00,0.1823,1.3875,0.0,0.3761,0.0,0.0
-95.00,0.0613,1.4048,0.0,0.3663,0.0,0.0
-90.00,-0.0612,1.407,0.0,0.3551,0.0,0.0
-85.00,-0.183,1.3941,0.0,0.3428,0.0,0.0
-80.00,-0.302,1.3664,0.0,0.3295,0.0,0.0
-75.00,-0.4162,1.324,0.0,0.3153,0.0,0.0
-70.00,-0.5234,1.2676,0.0,0.3001,0.0,0.0
-65.00,-0.6215,1.1978,0.0,0.2841,0.0,0.0
-60.00,-0.7082,1.1156,0.0,0.2672,0.0,0.0
-55.00,-0.7812,1.022,0.0,0.2494,0.0,0.0
-50.00,-0.8383,0.9187,0.0,0.2308,0.0,0.0
-45.00,-0.8769,0.8074,0.0,0.2113,0.0,0.0
-40.00,-0.8947,0.6904,0.0,0.1909,0.0,0.0
-35.00,-0.8891,0.5703,0.0,0.1696,0.0,0.0
-30.00,-0.8576,0.4503,0.0,0.1475,0.0,0.0
-25.00,-0.8324,0.3357,0.0,0.1224,0.0,0.0
-24.00,-0.8523,0.3147,0.0,0.1156,0.0,0.0
-23.00,-0.8815,0.2946,0.0,0.1081,0.0,0.0
-22.00,-0.9188,0.2752,0.0,0.1,0.0,0.0
-21.00,-0.9631,0.2566,0.0,0.0914,0.0,0.0
-20.00,-1.013,0.2388,0.0,0.0823,0.0,0.0
-19.00,-1.0674,0.2218,0.0,0.0728,0.0,0.0
-18.00,-1.125,0.2056,0.0,0.0631,0.0,0.0
-17.00,-1.1846,0.1901,0.0,0.0531,0.0,0.0
-16.00,-1.245,0.1754,0.0,0.043,0.0,0.0
-15.25,-1.29,0.16488,0.0,0.0353,0.0,0.0
-14.24,-1.229,0.14609,0.0,0.02401,0.0,0.0
-13.24,-1.148,0.1263,0.0,0.00999,0.0,0.0
-12.22,-1.052,0.10511,0.0,-0.00903,0.0,0.0
-11.22,-0.965,0.08861,0.0,-0.02295,0.0,0.0
-10.19,-0.867,0.07396,0.0,-0.0336,0.0,0.0
-9.70,-0.822,0.06835,0.0,-0.03753,0.0,0.0
-9.18,-0.769,0.06047,0.0,-0.04398,0.0,0.0
-8.18,-0.756,0.02696,0.0,-0.05782,0.0,0.0
-7.19,-0.69,0.01799,0.0,-0.05897,0.0,0.0
-6.65,-0.616,0.01662,0.0,-0.06326,0.0,0.0
-6.13,-0.542,0.01522,0.0,-0.06743,0.0,0.0
-6.00,-0.525,0.01174,0.0,-0.0732,0.0,0.0
-5.50,-0.451,0.01054,0.0,-0.0766,0.0,0.0
-5.00,-0.382,0.00969,0.0,-0.0797,0.0,0.0
-4.50,-0.314,0.00923,0.0,-0.0825,0.0,0.0
-4.00,-0.251,0.00905,0.0,-0.0853,0.0,0.0
-3.50,-0.189,0.00893,0.0,-0.0884,0.0,0.0
-3.00,-0.12,0.00885,0.0,-0.0914,0.0,0.0
-2.50,-0.051,0.00879,0.0,-0.0942,0.0,0.0
-2.00,0.017,0.00875,0.0,-0.0969,0.0,0.0
-1.50,0.085,0.00875,0.0,-0.0994,0.0,0.0
-1.00,0.152,0.00875,0.0,-0.1018,0.0,0.0
-0.50,0.219,0.0088,0.0,-0.1041,0.0,0.0
0.00,0.286,0.00885,0.0,-0.1062,0.0,0.0
0.50,0.353,0.00885,0.0,-0.1086,0.0,0.0
1.00,0.42,0.00891,0.0,-0.1107,0.0,0.0
1.50,0.487,0.00895,0.0,-0.1129,0.0,0.0
2.00,0.554,0.00899,0.0,-0.1149,0.0,0.0
2.50,0.619,0.00909,0.0,-0.1168,0.0,0.0
