XFOIL & experimental polar
Polar key
Airfoil,DU35_A17
Reynolds number,750000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-90.00,-0.0982,1.368,0.0,0.3759,0.0,0.0
-85.00,-0.2164,1.3521,0.0,0.3639,0.0,0.0
-80.00,-0.3314,1.3218,0.0,0.3508,0.0,0.0
-75.00,-0.4414,1.2773,0.0,0.3367,0.0,0.0
-70.00,-0.5441,1.2193,0.0,0.3216,0.0,0.0
-65.00,-0.6376,1.1486,0.0,0.3054,0.0,0.0
-60.00,-0.7196,1.066,0.0,0.2884,0.0,0.0
-55.00,-0.7879,0.9728,0.0,0.2703,0.0,0.0
-50.00,-0.8404,0.8705,0.0,0.2512,0.0,0.0
-45.00,-0.8747,0.7611,0.0,0.2311,0.0,0.0
-40.00,-0.8885,0.6466,0.0,0.2099,0.0,0.0
-35.00,-0.8796,0.5299,0.0,0.1876,0.0,0.0
-30.00,-0.8455,0.4141,0.0,0.1641,0.0,0.0
-25.00,-0.7841,0.303,0.0,0.1396,0.0,0.0
-24.00,-0.7683,0.2817,0.0,0.1345,0.0,0.0
-23.00,-0.7514,0.2608,0.0,0.1294,0.0,0.0
-22.00,-0.7332,0.2404,0.0,0.1243,0.0,0.0
-21.00,-0.7138,0.2205,0.0,0.1191,0.0,0.0
-20.00,-0.6932,0.2011,0.0,0.1139,0.0,0.0
-19.00,-0.6713,0.1822,0.0,0.1086,0.0,0.0
-18.00,-0.6481,0.164,0.0,0.1032,0.0,0.0
-17.00,-0.6241,0.1465,0.0,0.0975,0.0,0.0
-16.00,-0.6012,0.13,0.0,0.0898,0.0,0.0
-15.00,-0.5794,0.1145,0.0,0.0799,0.0,0.0
-14.00,-0.5587,0.1,0.0,0.0682,0.0,0.0
-13.00,-0.5386,0.0867,0.0,0.0547,0.0,0.0
-12.00,-0.5189,0.0744,0.0,0.0397,0.0,0.0
-11.00,-0.4994,0.0633,0.0,0.0234,0.0,0.0
-10.00,-0.4799,0.0534,0.0,0.006,0.0,0.0
-5.54,-0.3854,0.02451,0.0,-0.08,0.0,0.0
-5.04,-0.3587,0.02252,0.0,-0.08,0.0,0.0
-4.54,-0.3596,0.01962,0.0,-0.08,0.0,0.0
-4.04,-0.3545,0.01736,0.0,-0.08,0.0,0.0
-3.54,-0.3071,0.0162,0.0,-0.08,0.0,0.0
-3.04,-0.2458,0.0144,0.0,-0.08,0.0,0.0
-3.00,-0.24,0.024,0.0,-0.0623,0.0,0.0
-2.50,-0.163,0.0188,0.0,-0.0674,0.0,0.0
-2.00,-0.091,0.016,0.0,-0.0712,0.0,0.0
-1.50,-0.019,0.0137,0.0,-0.0746,0.0,0.0
-1.00,0.052,0.0118,0.0,-0.0778,0.0,0.0
-0.50,0.121,0.0104,0.0,-0.0806,0.0,0.0
0.00,0.19,0.0101,0.0,-0.0831,0.0,0.0
0.50,0.261,0.01005,0.0,-0.0863,0.0,0.0
1.00,0.333,0.00999,0.0,-0.0895,0.0,0.0
1.50,0.403,0.00999,0.0,-0.0924,0.0,0.0
2.00,0.472,0.01006,0.0,-0.0949,0.0,0.0
2.50,0.54,0.01015,0.0,-0.0973,0.0,0.0
3.00,0.609,0.0102,0.0,-0.0996,0.0,0.0
3.50,0.676,0.0103,0.0,-0.1016,0.0,0.0
4.00,0.744,0.01043,0.0,-0.1037,0.0,0.0
4.50,0.811,0.01056,0.0,-0.1057,0.0,0.0
5.00,0.877,0.01073,0.0,-0.1076,0.0,0.0
5.50,0.944,0.01081,0.0,-0.1094,0.0,0.0
6.00,1.009,0.01099,0.0,-0.1109,0.0,0.0
6.50,1.072,0.01126,0.0,-0.1118,0.0,0.0
7.00,1.134,0.01153,0.0,-0.1127,0.0,0.0
7.50,1.197,0.01173,0.0,-0.1138,0.0,0.0
8.00,1.258,0.01199,0.0,-0.1144,0.0,0.0
8.50,1.312,0.0124,0.0,-0.1137,0.0,0.0
9.00,1.355,0.01283,0.0,-0.1112,0.0,0.0
9.50,1.404,0.01348,0.0,-0.11,0.0,0.0
10.00,1.451,0.01426,0.0,-0.1086,0.0,0.0
10.50,1.491,0.01533,0.0,-0.1064,0.0,0.0
11.00,1.53,0.01649,0.0,-0.1044,0.0,0.0
11.50,1.557,0.01844,0.0,-0.1013,0.0,0.0
12.00,1.576,0.02099,0.0,-0.098,0.0,0.0
12.50,1.594,0.0239,0.0,-0.0953,0.0,0.0
13.00,1.602,0.0292,0.0,-0.0925,0.0,0.0
13.50,1.598,0.0349,0.0,-0.0896,0.0,0.0
14.00,1.561,0.0425,0.0,-0.0864,0.0,0.0
14.50,1.52,0.054,0.0,-0.084,0.0,0.0
15.50,1.421,0.0793,0.0,-0.083,0.0,0.0
16.00,1.368,0.0924,0.0,-0.0848,0.0,0.0
16.50,1.306,0.1064,0.0,-0.088,0.0,0.0
17.00,1.253,0.1197,0.0,-0.0926,0.0,0.0
17.50,1.196,0.13365,0.0,-0.0984,0.0,0.0
18.00,1.148,0.15243,0.0,-0.1052,0.0,0.0
19.00,1.106,0.17764,0.0,-0.1158,0.0,0.0
19.50,1.097,0.18921,0.0,-0.1213,0.0,0.0
20.00,1.104,0.2008,0.0,-0.1248,0.0,0.0
21.00,1.0764,0.2215,0.0,-0.1317,0.0,0.0
22.00,1.0483,0.2427,0.0,-0.1385,0.0,0.0
23.00,1.0202,0.2644,0.0,-0.1452,0.0,0.0
24.00,0.9929,0.2866,0.0,-0.1518,0.0,0.0
25.00,0.9671,0.3091,0.0,-0.1583,0.0,0.0
26.00,0.9435,0.3319,0.0,-0.1647,0.0,0.0
28.00,0.9056,0.3783,0.0,-0.177,0.0,0.0
30.00,0.8847,0.4254,0.0,-0.1886,0.0,0.0
32.00,0.8865,0.4729,0.0,-0.1994,0.0,0.0
35.00,0.9041,0.5446,0.0,-0.2148,0.0,0.0
40.00,0.9131,0.6645,0.0,-0.2392,0.0,0.0
45.00,0.8987,0.7819,0.0,-0.2622,0.0,0.0
50.00,0.8633,0.8942,0.0,-0.2839,0.0,0.0
55.00,0.8092,0.9991,0.0,-0.3043,0.0,0.0
60.00,0.7389,1.0946,0.0,-0.3236,0.0,0.0
65.00,0.6546,1.1792,0.0,-0.3417,0.0,0.0
70.00,0.5586,1.2517,0.0,-0.3586,0.0,0.0
75.00,0.4531,1.3111,0.0,-0.3745,0.0,0.0
80.00,0.3402,1.3567,0.0,-0.3892,0.0,0.0
85.00,0.222,1.3878,0.0,-0.4028,0.0,0.0
90.00,0.1007,1.4041,0.0,-0.4151,0.0,0.0
