r/R,y/R (y-distance of LE from the middle point of hub)
0.02380952381,0.028111111
0.045503175,0.028111111
0.088888889,0.028111111
0.132274603,0.028111111
0.186507937,0.028111111
0.251587302,0.028111111
0.316666667,0.028111111
0.381746032,0.028111111
0.446825397,0.028111111
0.511904762,0.028111111
0.576984127,0.028111111
0.642063492,0.028111111
0.707142857,0.028111111
0.772222222,0.028111111
0.837301587,0.028111111
0.891534921,0.028111111
0.934920635,0.028111111
0.978306349,0.028111111
