r/R,y/R (y-distance of LE from the middle point of hub)
0.02380952381,0.028111111
0.045503175,0.028111111
0.088888889,0.030587302
0.132274603,0.033071429
0.186507937,0.036166667
0.251587302,0.036920635
0.316666667,0.035380953
0.381746032,0.033722222
0.446825397,0.031801588
0.511904762,0.029746032
0.576984127,0.027793651
0.642063492,0.02584127
0.707142857,0.023888889
0.772222222,0.021936508
0.837301587,0.019984127
0.891534921,0.018357143
0.934920635,0.016555556
0.978306349,0.011261905
