   r(m)   AOA(°)
   1.5583227e+00   6.5243118e+01
   1.7330693e+00   6.4199234e+01
   2.0235772e+00   6.2471561e+01
   2.4287443e+00   6.0091747e+01
   2.9470334e+00   5.7108257e+01
   3.5764790e+00   5.3601131e+01
   4.3146930e+00   4.9692112e+01
   5.1588750e+00   4.5520733e+01
   6.1058230e+00   4.1306622e+01
   7.1519451e+00   3.7180550e+01
   8.2932720e+00   3.3187538e+01
   9.5254755e+00   2.6999914e+01
   1.0843882e+01   2.0514259e+01
   1.2243487e+01   1.5743020e+01
   1.3718985e+01   1.3388682e+01
   1.5264777e+01   1.1359591e+01
   1.6875000e+01   1.0008493e+01
   1.8543545e+01   9.0255604e+00
   2.0264084e+01   8.1615629e+00
   2.2030090e+01   7.3721423e+00
   2.3834864e+01   6.6971068e+00
   2.5671558e+01   6.1095862e+00
   2.7533207e+01   5.5751176e+00
   2.9412748e+01   5.2252707e+00
   3.1303053e+01   5.0208564e+00
   3.3196949e+01   4.8409972e+00
   3.5087254e+01   4.6783938e+00
   3.6966793e+01   4.5866866e+00
   3.8828442e+01   4.5788560e+00
   4.0665138e+01   4.6190696e+00
   4.2469910e+01   4.8058138e+00
   4.4235916e+01   4.9865112e+00
   4.5956455e+01   5.0512881e+00
   4.7625000e+01   5.0911064e+00
   4.9235222e+01   5.1482124e+00
   5.0781013e+01   5.2189426e+00
   5.2256512e+01   5.3016338e+00
   5.3656120e+01   5.3936815e+00
   5.4974525e+01   5.4920964e+00
   5.6206726e+01   5.6008129e+00
   5.7348057e+01   5.7229791e+00
   5.8394176e+01   5.8478642e+00
   5.9341125e+01   6.0382509e+00
   6.0185307e+01   6.2800741e+00
   6.0923523e+01   6.4831953e+00
   6.1552967e+01   6.6603236e+00
   6.2071255e+01   6.8224106e+00
   6.2476421e+01   6.9542408e+00
   6.2766930e+01   7.0452981e+00
   6.2941677e+01   7.0987821e+00
