   r(m)   a(-)
   1.5583227e+00   1.4505231e-01
   1.7330693e+00   1.3088468e-01
   2.0235772e+00   1.1276478e-01
   2.4287443e+00   9.4786070e-02
   2.9470334e+00   7.9592787e-02
   3.5764790e+00   6.7929029e-02
   4.3146930e+00   5.9100214e-02
   5.1588750e+00   5.2448820e-02
   6.1058230e+00   4.4847943e-02
   7.1519451e+00   3.6392462e-02
   8.2932720e+00   2.9120157e-02
   9.5254755e+00   1.0217230e-01
   1.0843882e+01   1.9272850e-01
   1.2243487e+01   2.5376919e-01
   1.3718985e+01   2.6372582e-01
   1.5264777e+01   2.7727503e-01
   1.6875000e+01   2.7504337e-01
   1.8543545e+01   2.6543558e-01
   2.0264084e+01   2.5829244e-01
   2.2030090e+01   2.5449407e-01
   2.3834864e+01   2.5293595e-01
   2.5671558e+01   2.5533211e-01
   2.7533207e+01   2.6299742e-01
   2.9412748e+01   2.6771352e-01
   3.1303053e+01   2.7022555e-01
   3.3196949e+01   2.7574521e-01
   3.5087254e+01   2.8435835e-01
   3.6966793e+01   2.9271698e-01
   3.8828442e+01   2.9891285e-01
   4.0665138e+01   3.0371064e-01
   4.2469910e+01   2.9724976e-01
   4.4235916e+01   2.9075822e-01
   4.5956455e+01   2.9140481e-01
   4.7625000e+01   2.9277578e-01
   4.9235222e+01   2.9384449e-01
   5.0781013e+01   2.9454342e-01
   5.2256512e+01   2.9490623e-01
   5.3656120e+01   2.9493594e-01
   5.4974525e+01   2.9463178e-01
   5.6206726e+01   2.9271573e-01
   5.7348057e+01   2.8819531e-01
   5.8394176e+01   2.8254649e-01
   5.9341125e+01   2.6408824e-01
   6.0185307e+01   2.3458864e-01
   6.0923523e+01   2.0932278e-01
   6.1552967e+01   1.8592620e-01
   6.2071255e+01   1.6181487e-01
   6.2476421e+01   1.4050040e-01
   6.2766930e+01   1.2551546e-01
   6.2941677e+01   1.1661105e-01
