   r(m)   gamma(m^2/s)
   1.5583227e+00   0.0000000e+00
   1.7330693e+00   0.0000000e+00
   2.0235772e+00   0.0000000e+00
   2.4287443e+00   0.0000000e+00
   2.9470334e+00   0.0000000e+00
   3.5764790e+00   0.0000000e+00
   4.3146930e+00   0.0000000e+00
   5.1588750e+00   0.0000000e+00
   6.1058230e+00   0.0000000e+00
   7.1519451e+00   0.0000000e+00
   8.2932720e+00   0.0000000e+00
   9.5254755e+00   2.3410105e+01
   1.0843882e+01   5.1914753e+01
   1.2243487e+01   7.0908867e+01
   1.3718985e+01   7.6361664e+01
   1.5264777e+01   8.0854340e+01
   1.6875000e+01   8.1415443e+01
   1.8543545e+01   8.0276962e+01
   2.0264084e+01   7.9384636e+01
   2.2030090e+01   7.9016251e+01
   2.3834864e+01   7.9018501e+01
   2.5671558e+01   7.9759415e+01
   2.7533207e+01   8.1519028e+01
   2.9412748e+01   8.2640442e+01
   3.1303053e+01   8.3294334e+01
   3.3196949e+01   8.4481827e+01
   3.5087254e+01   8.6191292e+01
   3.6966793e+01   8.7786270e+01
   3.8828442e+01   8.8949554e+01
   4.0665138e+01   8.9841103e+01
   4.2469910e+01   8.8841995e+01
   4.4235916e+01   8.7791794e+01
   4.5956455e+01   8.7962952e+01
   4.7625000e+01   8.8251938e+01
   4.9235222e+01   8.8480545e+01
   5.0781013e+01   8.8638481e+01
   5.2256512e+01   8.8732826e+01
   5.3656120e+01   8.8764946e+01
   5.4974525e+01   8.8735130e+01
   5.6206726e+01   8.8419098e+01
   5.7348057e+01   8.7630440e+01
   5.8394176e+01   8.6613083e+01
   5.9341125e+01   8.3063156e+01
   6.0185307e+01   7.6774612e+01
   6.0923523e+01   7.0793587e+01
   6.1552967e+01   6.4764130e+01
   6.2071255e+01   5.8055611e+01
   6.2476421e+01   5.1706886e+01
   6.2766930e+01   4.7008553e+01
   6.2941677e+01   4.4124748e+01
