   r(m)   Cd(-)
   1.5583227e+00   5.0000000e-01
   1.7330693e+00   5.0000000e-01
   2.0235772e+00   5.0000000e-01
   2.4287443e+00   5.0000000e-01
   2.9470334e+00   5.0000000e-01
   3.5764790e+00   5.0000000e-01
   4.3146930e+00   5.0000000e-01
   5.1588750e+00   5.0000000e-01
   6.1058230e+00   4.7224107e-01
   7.1519451e+00   4.1483125e-01
   8.2932720e+00   3.5219666e-01
   9.5254755e+00   4.7397205e-01
   1.0843882e+01   4.0274292e-01
   1.2243487e+01   2.0427880e-01
   1.3718985e+01   8.7578610e-02
   1.5264777e+01   2.8083656e-02
   1.6875000e+01   1.5630575e-02
   1.8543545e+01   1.3351121e-02
   2.0264084e+01   1.2254457e-02
   2.2030090e+01   1.1356267e-02
   2.3834864e+01   1.0506021e-02
   2.5671558e+01   1.0203427e-02
   2.7533207e+01   9.1825919e-03
   2.9412748e+01   8.3505409e-03
   3.1303053e+01   7.9417126e-03
   3.3196949e+01   7.9998998e-03
   3.5087254e+01   8.1121614e-03
   3.6966793e+01   8.0907093e-03
   3.8828442e+01   8.0734827e-03
   4.0665138e+01   8.0300197e-03
   4.2469910e+01   7.1684774e-03
   4.4235916e+01   6.0378835e-03
   4.5956455e+01   5.9692501e-03
   4.7625000e+01   6.1006504e-03
   4.9235222e+01   6.2891007e-03
   5.0781013e+01   6.5225102e-03
   5.2256512e+01   6.7953924e-03
   5.3656120e+01   7.0991484e-03
   5.4974525e+01   7.4239192e-03
   5.6206726e+01   7.7826828e-03
   5.7348057e+01   8.1858309e-03
   5.8394176e+01   8.5979514e-03
   5.9341125e+01   9.1841519e-03
   6.0185307e+01   9.7161634e-03
   6.0923523e+01   1.0163031e-02
   6.1552967e+01   1.0552713e-02
   6.2071255e+01   1.0909303e-02
   6.2476421e+01   1.1199330e-02
   6.2766930e+01   1.1349828e-02
   6.2941677e+01   1.1408661e-02
