   r(m)   phi(°)
   1.5583227e+00   7.8551117e+01
   1.7330693e+00   7.7507233e+01
   2.0235772e+00   7.5779564e+01
   2.4287443e+00   7.3399750e+01
   2.9470334e+00   7.0416260e+01
   3.5764790e+00   6.6909134e+01
   4.3146930e+00   6.3000111e+01
   5.1588750e+00   5.8828735e+01
   6.1058230e+00   5.4614620e+01
   7.1519451e+00   5.0488552e+01
   8.2932720e+00   4.6495537e+01
   9.5254755e+00   4.0307915e+01
   1.0843882e+01   3.3822258e+01
   1.2243487e+01   2.8780622e+01
   1.3718985e+01   2.5818802e+01
   1.5264777e+01   2.3113235e+01
   1.6875000e+01   2.1158993e+01
   1.8543545e+01   1.9639685e+01
   2.0264084e+01   1.8246761e+01
   2.2030090e+01   1.6950195e+01
   2.3834864e+01   1.5762985e+01
   2.5671558e+01   1.4639656e+01
   2.7533207e+01   1.3551686e+01
   2.9412748e+01   1.2634978e+01
   3.1303053e+01   1.1853791e+01
   3.3196949e+01   1.1111768e+01
   3.5087254e+01   1.0403743e+01
   3.6966793e+01   9.7716131e+00
   3.8828442e+01   9.2307796e+00
   4.0665138e+01   8.7606297e+00
   4.2469910e+01   8.4701147e+00
   4.4235916e+01   8.2104435e+00
   4.5956455e+01   7.8997998e+00
   4.7625000e+01   7.6116061e+00
   4.9235222e+01   7.3543458e+00
   5.0781013e+01   7.1257730e+00
   5.2256512e+01   6.9230103e+00
   5.3656120e+01   6.7438517e+00
   5.4974525e+01   6.5864348e+00
   5.6206726e+01   6.4603815e+00
   5.7348057e+01   6.3729000e+00
   5.8394176e+01   6.3090982e+00
   5.9341125e+01   6.3665915e+00
   6.0185307e+01   6.5278120e+00
   6.0923523e+01   6.6607118e+00
   6.1552967e+01   6.7870479e+00
   6.2071255e+01   6.9292059e+00
   6.2476421e+01   7.0580716e+00
   6.2766930e+01   7.1470032e+00
   6.2941677e+01   7.1992087e+00
