   r(m)   Cl(-)
   1.5583227e+00   0.0000000e+00
   1.7330693e+00   0.0000000e+00
   2.0235772e+00   0.0000000e+00
   2.4287443e+00   0.0000000e+00
   2.9470334e+00   0.0000000e+00
   3.5764790e+00   0.0000000e+00
   4.3146930e+00   0.0000000e+00
   5.1588750e+00   0.0000000e+00
   6.1058230e+00   0.0000000e+00
   7.1519451e+00   0.0000000e+00
   8.2932720e+00   0.0000000e+00
   9.5254755e+00   6.5859783e-01
   1.0843882e+01   1.3214166e+00
   1.2243487e+01   1.6422232e+00
   1.3718985e+01   1.6192524e+00
   1.5264777e+01   1.5758113e+00
   1.6875000e+01   1.4758154e+00
   1.8543545e+01   1.3707606e+00
   2.0264084e+01   1.2818049e+00
   2.2030090e+01   1.2117085e+00
   2.3834864e+01   1.1561037e+00
   2.5671558e+01   1.1196206e+00
   2.7533207e+01   1.1036941e+00
   2.9412748e+01   1.0843018e+00
   3.1303053e+01   1.0640649e+00
   3.3196949e+01   1.0540395e+00
   3.5087254e+01   1.0533190e+00
   3.6966793e+01   1.0544953e+00
   3.8828442e+01   1.0537279e+00
   4.0665138e+01   1.0529613e+00
   4.2469910e+01   1.0331513e+00
   4.4235916e+01   1.0159262e+00
   4.5956455e+01   1.0157186e+00
   4.7625000e+01   1.0193818e+00
   4.9235222e+01   1.0246356e+00
   5.0781013e+01   1.0311427e+00
   5.2256512e+01   1.0387504e+00
   5.3656120e+01   1.0472187e+00
   5.4974525e+01   1.0562730e+00
   5.6206726e+01   1.0662749e+00
   5.7348057e+01   1.0775141e+00
   5.8394176e+01   1.0890036e+00
   5.9341125e+01   1.1059836e+00
   6.0185307e+01   1.1248459e+00
   6.0923523e+01   1.1406893e+00
   6.1552967e+01   1.1545053e+00
   6.2071255e+01   1.1671480e+00
   6.2476421e+01   1.1774307e+00
   6.2766930e+01   1.1844426e+00
   6.2941677e+01   1.1885074e+00
