   r(m)   Cn(-)
   1.5583227e+00   4.9005109e-01
   1.7330693e+00   4.8816165e-01
   2.0235772e+00   4.8467889e-01
   2.4287443e+00   4.7916067e-01
   2.9470334e+00   4.7107631e-01
   3.5764790e+00   4.5994201e-01
   4.3146930e+00   4.4550371e-01
   5.1588750e+00   4.2781198e-01
   6.1058230e+00   3.8500661e-01
   7.1519451e+00   3.2004127e-01
   8.2932720e+00   2.5545555e-01
   9.5254755e+00   8.0884308e-01
   1.0843882e+01   1.3219651e+00
   1.2243487e+01   1.5383813e+00
   1.3718985e+01   1.4965100e+00
   1.5264777e+01   1.4609863e+00
   1.6875000e+01   1.3823223e+00
   1.8543545e+01   1.2957751e+00
   2.0264084e+01   1.2213762e+00
   2.2030090e+01   1.1625170e+00
   2.3834864e+01   1.1155852e+00
   2.5671558e+01   1.0859301e+00
   2.7533207e+01   1.0751781e+00
   2.9412748e+01   1.0599152e+00
   3.1303053e+01   1.0430377e+00
   3.3196949e+01   1.0358447e+00
   3.5087254e+01   1.0374836e+00
   3.6966793e+01   1.0405811e+00
   3.8828442e+01   1.0413845e+00
   4.0665138e+01   1.0419039e+00
   4.2469910e+01   1.0229405e+00
   4.4235916e+01   1.0063765e+00
   4.5956455e+01   1.0069003e+00
   4.7625000e+01   1.0112077e+00
   4.9235222e+01   1.0170108e+00
   5.0781013e+01   1.0239866e+00
   5.2256512e+01   1.0319948e+00
   5.3656120e+01   1.0408056e+00
   5.4974525e+01   1.0501518e+00
   5.6206726e+01   1.0603778e+00
   5.7348057e+01   1.0717624e+00
   5.8394176e+01   1.0833513e+00
   5.9341125e+01   1.1001776e+00
   6.0185307e+01   1.1186545e+00
   6.0923523e+01   1.1341660e+00
   6.1552967e+01   1.1476600e+00
   6.2071255e+01   1.1599391e+00
   6.2476421e+01   1.1698843e+00
   6.2766930e+01   1.1766518e+00
   6.2941677e+01   1.1805675e+00
