   r(m)   N(N/m)
   1.5583227e+00   1.2466056e+02
   1.7330693e+00   1.2819954e+02
   2.0235772e+00   1.3278491e+02
   2.4287443e+00   1.3757394e+02
   2.9470334e+00   1.4311189e+02
   3.5764790e+00   1.5045433e+02
   4.3146930e+00   1.5962465e+02
   5.1588750e+00   1.7070387e+02
   6.1058230e+00   1.7423376e+02
   7.1519451e+00   1.6713329e+02
   8.2932720e+00   1.5628235e+02
   9.5254755e+00   5.8185791e+02
   1.0843882e+01   1.1224832e+03
   1.2243487e+01   1.5416211e+03
   1.3718985e+01   1.7715848e+03
   1.5264777e+01   2.0347635e+03
   1.6875000e+01   2.2389106e+03
   1.8543545e+01   2.4064617e+03
   2.0264084e+01   2.5844429e+03
   2.2030090e+01   2.7830205e+03
   2.3834864e+01   2.9992476e+03
   2.5671558e+01   3.2508582e+03
   2.7533207e+01   3.5546013e+03
   2.9412748e+01   3.8409231e+03
   3.1303053e+01   4.1122969e+03
   3.3196949e+01   4.4168018e+03
   3.5087254e+01   4.7571016e+03
   3.6966793e+01   5.0992183e+03
   3.8828442e+01   5.4217095e+03
   4.0665138e+01   5.7300684e+03
   4.2469910e+01   5.9117314e+03
   4.4235916e+01   6.0790122e+03
   4.5956455e+01   6.3239512e+03
   4.7625000e+01   6.5718228e+03
   4.9235222e+01   6.8086797e+03
   5.0781013e+01   7.0323271e+03
   5.2256512e+01   7.2419746e+03
   5.3656120e+01   7.4364858e+03
   5.4974525e+01   7.6147261e+03
   5.6206726e+01   7.7558906e+03
   5.7348057e+01   7.8410957e+03
   5.8394176e+01   7.8898804e+03
   5.9341125e+01   7.6872261e+03
   6.0185307e+01   7.2038042e+03
   6.0923523e+01   6.7219717e+03
   6.1552967e+01   6.2111807e+03
   6.2071255e+01   5.6129985e+03
   6.2476421e+01   5.0304380e+03
   6.2766930e+01   4.5936704e+03
   6.2941677e+01   4.3233159e+03
