   r(m)   Ct(-)
   1.5583227e+00  -8.6852089e-02
   1.7330693e+00  -9.6846983e-02
   2.0235772e+00  -1.1300687e-01
   2.4287443e+00  -1.3462390e-01
   2.9470334e+00  -1.6078135e-01
   3.5764790e+00  -1.9039819e-01
   4.3146930e+00  -2.2219177e-01
   5.1588750e+00  -2.5473332e-01
   6.1058230e+00  -2.7019948e-01
   7.1519451e+00  -2.6148140e-01
   8.2932720e+00  -2.4066862e-01
   9.5254755e+00   6.4215928e-02
   1.0843882e+01   3.9895219e-01
   1.2243487e+01   6.0841638e-01
   1.3718985e+01   6.2350380e-01
   1.5264777e+01   5.9039724e-01
   1.6875000e+01   5.1655430e-01
   1.8543545e+01   4.4698942e-01
   2.0264084e+01   3.8887739e-01
   2.2030090e+01   3.4178415e-01
   2.3834864e+01   3.0348504e-01
   2.5671558e+01   2.7273807e-01
   2.7533207e+01   2.4941145e-01
   2.9412748e+01   2.2881489e-01
   3.1303053e+01   2.1063857e-01
   3.3196949e+01   1.9516347e-01
   3.5087254e+01   1.8213911e-01
   3.6966793e+01   1.7092817e-01
   3.8828442e+01   1.6101287e-01
   4.0665138e+01   1.5240537e-01
   4.2469910e+01   1.4506754e-01
   4.4235916e+01   1.3909802e-01
   4.5956455e+01   1.3368391e-01
   4.7625000e+01   1.2897764e-01
   4.9235222e+01   1.2492504e-01
   5.0781013e+01   1.2144483e-01
   5.2256512e+01   1.1846777e-01
   5.3656120e+01   1.1593348e-01
   5.4974525e+01   1.1378895e-01
   5.6206726e+01   1.1225235e-01
   5.7348057e+01   1.1148270e-01
   5.8394176e+01   1.1113940e-01
   5.9341125e+01   1.1354845e-01
   6.0185307e+01   1.1825648e-01
   6.0923523e+01   1.2224019e-01
   6.1552967e+01   1.2597701e-01
   6.2071255e+01   1.2997898e-01
   6.2476421e+01   1.3356276e-01
   6.2766930e+01   1.3610098e-01
   6.2941677e+01   1.3762364e-01
