   r(m)   T(N/m)
   1.5583227e+00  -2.2093678e+01
   1.7330693e+00  -2.5433662e+01
   2.0235772e+00  -3.0959898e+01
   2.4287443e+00  -3.8652470e+01
   2.9470334e+00  -4.8845005e+01
   3.5764790e+00  -6.2282269e+01
   4.3146930e+00  -7.9611649e+01
   5.1588750e+00  -1.0164271e+02
   6.1058230e+00  -1.2227810e+02
   7.1519451e+00  -1.3655191e+02
   8.2932720e+00  -1.4723602e+02
   9.5254755e+00   4.6195049e+01
   1.0843882e+01   3.3875107e+02
   1.2243487e+01   6.0969763e+02
   1.3718985e+01   7.3811060e+02
   1.5264777e+01   8.2226569e+02
   1.6875000e+01   8.3664923e+02
   1.8543545e+01   8.3013098e+02
   2.0264084e+01   8.2286798e+02
   2.2030090e+01   8.1821802e+02
   2.3834864e+01   8.1591858e+02
   2.5671558e+01   8.1647314e+02
   2.7533207e+01   8.2456860e+02
   2.9412748e+01   8.2917987e+02
   3.1303053e+01   8.3046698e+02
   3.3196949e+01   8.3216943e+02
   3.5087254e+01   8.3514996e+02
   3.6966793e+01   8.3760895e+02
   3.8828442e+01   8.3827350e+02
   4.0665138e+01   8.3817053e+02
   4.2469910e+01   8.3836774e+02
   4.4235916e+01   8.4022089e+02
   4.5956455e+01   8.3961688e+02
   4.7625000e+01   8.3822363e+02
   4.9235222e+01   8.3634760e+02
   5.0781013e+01   8.3403412e+02
   5.2256512e+01   8.3134192e+02
   5.3656120e+01   8.2833698e+02
   5.4974525e+01   8.2509186e+02
   5.6206726e+01   8.2104401e+02
   5.7348057e+01   8.1561597e+02
   5.8394176e+01   8.0941113e+02
   5.9341125e+01   7.9339246e+02
   6.0185307e+01   7.6153674e+02
   6.0923523e+01   7.2449280e+02
   6.1552967e+01   6.8179254e+02
   6.2071255e+01   6.2897430e+02
   6.2476421e+01   5.7431250e+02
   6.2766930e+01   5.3134070e+02
   6.2941677e+01   5.0398688e+02
