   r(m)   a'(-)
   1.5583227e+00   1.5944002e+00
   1.7330693e+00   1.3214676e+00
   2.0235772e+00   9.9300140e-01
   2.4287443e+00   6.9507086e-01
   2.9470334e+00   4.6603942e-01
   3.5764790e+00   3.0680761e-01
   4.3146930e+00   2.0138821e-01
   5.1588750e+00   1.3344787e-01
   6.1058230e+00   8.5722089e-02
   7.1519451e+00   5.2750047e-02
   8.2932720e+00   3.2255590e-02
   9.5254755e+00   7.6100074e-02
   1.0843882e+01   9.7638629e-02
   1.2243487e+01   9.3570717e-02
   1.3718985e+01   7.7552341e-02
   1.5264777e+01   6.5385453e-02
   1.6875000e+01   5.3820055e-02
   1.8543545e+01   4.3993693e-02
   2.0264084e+01   3.6460478e-02
   2.2030090e+01   3.0721301e-02
   2.3834864e+01   2.6252663e-02
   2.5671558e+01   2.2847440e-02
   2.7533207e+01   2.0298528e-02
   2.9412748e+01   1.8030357e-02
   3.1303053e+01   1.6044054e-02
   3.3196949e+01   1.4469353e-02
   3.5087254e+01   1.3214372e-02
   3.6966793e+01   1.2124632e-02
   3.8828442e+01   1.1135058e-02
   4.0665138e+01   1.0253214e-02
   4.2469910e+01   9.2945192e-03
   4.4235916e+01   8.4644873e-03
   4.5956455e+01   7.8575611e-03
   4.7625000e+01   7.3405900e-03
   4.9235222e+01   6.8860599e-03
   5.0781013e+01   6.4847711e-03
   5.2256512e+01   6.1302865e-03
   5.3656120e+01   5.8167968e-03
   5.4974525e+01   5.5393456e-03
   5.6206726e+01   5.2803326e-03
   5.7348057e+01   5.0271014e-03
   5.8394176e+01   4.7924025e-03
   5.9341125e+01   4.4506113e-03
   6.0185307e+01   3.9991951e-03
   6.0923523e+01   3.5989063e-03
   6.1552967e+01   3.2254690e-03
   6.2071255e+01   2.8433427e-03
   6.2476421e+01   2.4997215e-03
   6.2766930e+01   2.2516237e-03
   6.2941677e+01   2.1017846e-03
