x/c,y/c
1,0
0.99937,0.02512
0.99748,0.05018
0.99433,0.07511
0.98993,0.09985
0.98429,0.12434
0.97743,0.14852
0.96937,0.17232
0.96012,0.19569
0.9497,0.21856
0.93815,0.24088
0.9255,0.26259
0.91177,0.28363
0.897,0.30397
0.88122,0.32353
0.86448,0.34227
0.84683,0.36015
0.82829,0.37713
0.80893,0.39314
0.78879,0.40817
0.76791,0.42216
0.74636,0.43509
0.72419,0.44692
0.70145,0.45762
0.67821,0.46716
0.65451,0.47553
0.63042,0.48269
0.606,0.48863
0.58132,0.49334
0.55643,0.49681
0.5314,0.49901
0.50628,0.49996
0.48115,0.49964
0.45607,0.49807
0.4311,0.49523
0.40631,0.49114
0.38175,0.48582
0.35749,0.47926
0.33359,0.4715
0.31011,0.46254
0.28711,0.45241
0.26465,0.44115
0.24278,0.42876
0.22156,0.4153
0.20105,0.40078
0.18129,0.38526
0.16233,0.36876
0.14423,0.35132
0.12703,0.33301
0.11077,0.31385
0.09549,0.29389
0.08124,0.2732
0.06804,0.25181
0.05593,0.22979
0.04495,0.20719
0.03511,0.18406
0.02645,0.16047
0.01899,0.13648
0.01274,0.11214
0.00772,0.08751
0.00394,0.06267
0.00142,0.03766
0.00016,0.01257
0,0
0.00016,-0.01257
0.00142,-0.03766
0.00394,-0.06267
0.00772,-0.08751
0.01274,-0.11214
0.01899,-0.13648
0.02645,-0.16047
0.03511,-0.18406
0.04495,-0.20719
0.05593,-0.22979
0.06804,-0.25181
0.08124,-0.2732
0.09549,-0.29389
0.11077,-0.31385
0.12703,-0.33301
0.14423,-0.35132
0.16233,-0.36876
0.18129,-0.38526
0.20105,-0.40078
0.22156,-0.4153
0.24278,-0.42876
0.26465,-0.44115
0.28711,-0.45241
0.31011,-0.46254
0.33359,-0.4715
0.35749,-0.47926
0.38175,-0.48582
0.40631,-0.49114
0.4311,-0.49523
0.45607,-0.49807
0.48115,-0.49964
0.50628,-0.49996
0.5314,-0.49901
0.55643,-0.49681
0.58132,-0.49334
0.606,-0.48863
0.63042,-0.48269
0.65451,-0.47553
0.67821,-0.46716
0.70145,-0.45762
0.72419,-0.44692
0.74636,-0.43509
0.76791,-0.42216
0.78879,-0.40817
0.80893,-0.39314
0.82829,-0.37713
0.84683,-0.36015
0.86448,-0.34227
0.88122,-0.32353
0.897,-0.30397
0.91177,-0.28363
0.9255,-0.26259
0.93815,-0.24088
0.9497,-0.21856
0.96012,-0.19569
0.96937,-0.17232
0.97743,-0.14852
0.98429,-0.12434
0.98993,-0.09985
0.99433,-0.07511
0.99748,-0.05018
0.99937,-0.02512
1,0
