x/c,y/c
1,0.002131
0.99314,0.004139
0.98601,0.006171
0.97863,0.008224
0.97098,0.010301
0.963069,0.012403
0.954901,0.014539
0.94647,0.016719
0.93778,0.018954
0.92882,0.021245
0.91961,0.02359
0.91013,0.025997
0.90039,0.028464
0.89039,0.030989
0.88013,0.033572
0.86961,0.036215
0.85882,0.038915
0.84778,0.041666
0.83647,0.044467
0.8249,0.047319
0.81307,0.050226
0.80098,0.053185
0.78863,0.056193
0.77601,0.059245
0.76314,0.062328
0.75,0.065444
0.73667,0.068573
0.72333,0.071676
0.71,0.074751
0.69667,0.077791
0.68333,0.080795
0.67,0.083754
0.65667,0.086666
0.64333,0.089527
0.63,0.092328
0.61667,0.095071
0.60333,0.097748
0.59,0.100353
0.57667,0.10289
0.56333,0.105351
0.55,0.107728
0.53667,0.110014
0.52333,0.112209
0.51,0.114297
0.49667,0.116279
0.48333,0.118151
0.47,0.119909
0.45667,0.12154
0.44333,0.12303
0.43,0.124364
0.41667,0.125536
0.40333,0.126545
0.39,0.127382
0.37667,0.128032
0.36333,0.128462
0.35,0.128635
0.33667,0.128532
0.32333,0.128147
0.31,0.127486
0.29667,0.12656
0.28333,0.125376
0.27,0.123936
0.25667,0.122242
0.24342,0.120303
0.23053,0.118173
0.21798,0.115863
0.20579,0.113395
0.19395,0.110779
0.18245,0.108025
0.17131,0.105151
0.16052,0.102168
0.15008,0.099085
0.13999,0.095913
0.13026,0.092663
0.12087,0.089336
0.11183,0.085948
0.10315,0.082507
0.09481,0.079015
0.08683,0.075487
0.07919,0.071922
0.07191,0.068338
0.06498,0.064738
0.0584,0.061132
0.05217,0.057528
0.04629,0.053932
0.04076,0.050349
0.03558,0.046787
0.03075,0.043257
0.02627,0.039764
0.02215,0.036323
0.01837,0.032929
0.01495,0.029608
0.01187,0.026346
0.00915,0.023169
0.00678,0.020072
0.00476,0.017056
0.00309,0.014094
0.00177,0.011096
0.0008,0.007656
0.00018,0.003633
0,0
0.00018,-0.003603
0.0008,-0.007777
0.00177,-0.011687
0.00309,-0.015492
0.00476,-0.019211
0.00678,-0.022879
0.00915,-0.026518
0.01187,-0.030188
0.01495,-0.033921
0.01837,-0.037695
0.02215,-0.041525
0.02627,-0.045367
0.03075,-0.049209
0.03558,-0.053021
0.04076,-0.056788
0.04629,-0.060506
0.05217,-0.064177
0.0584,-0.067804
0.06498,-0.071387
0.07191,-0.074924
0.07919,-0.078415
0.08683,-0.081864
0.09481,-0.085254
0.10315,-0.088581
0.11183,-0.091823
0.12087,-0.094979
0.13026,-0.098028
0.13999,-0.100954
0.15008,-0.103755
0.16052,-0.106416
0.17131,-0.108923
0.18245,-0.111258
0.19395,-0.113408
0.20579,-0.115358
0.21798,-0.117099
0.23053,-0.118618
0.24342,-0.119902
0.25667,-0.120935
0.27,-0.121683
0.28333,-0.122142
0.29667,-0.12232
0.31,-0.122222
0.32333,-0.121856
0.33667,-0.121226
0.35,-0.120342
0.36333,-0.119217
0.37667,-0.117853
0.39,-0.116253
0.40333,-0.114423
0.41667,-0.11236
0.43,-0.110056
0.44333,-0.107515
0.45667,-0.104736
0.47,-0.101732
0.48333,-0.098509
0.49667,-0.095075
0.51,-0.091448
0.523329,-0.087639
0.53667,-0.08366
0.55,-0.079532
0.56333,-0.075269
0.57667,-0.070879
0.589999,-0.066385
0.60333,-0.061798
0.61667,-0.057133
0.63,-0.052417
0.64333,-0.047673
0.65667,-0.04293
0.67,-0.038219
0.68333,-0.033569
0.69667,-0.029003
0.71,-0.024555
0.72333,-0.020258
0.73667,-0.016137
0.75,-0.012226
0.76314,-0.008608
0.77601,-0.005324
0.78863,-0.002375
0.80098,0.000232
0.81307,0.002501
0.8249,0.004437
0.83647,0.006056
0.84778,0.007368
0.85882,0.008387
0.86961,0.009128
0.88013,0.009606
0.89039,0.009831
0.90039,0.009816
0.91013,0.00957
0.91961,0.009104
0.92882,0.00844
0.93778,0.007596
0.94647,0.006602
0.9549,0.005491
0.96307,0.004291
0.97098,0.00303
0.97863,0.001734
0.98601,0.000432
0.99314,-0.000857
1,-0.002131
