nt,t (s),enstrophy (m^3/s^2)
1,0.0255922319516671,126.39745039392464
2,0.0511844639033342,126.51654346960139
3,0.0767766958550013,126.67824976874654
4,0.1023689278066684,126.8133285003742
5,0.1279611597583355,126.97322165539711
6,0.1535533917100026,127.12912606087826
7,0.1791456236616697,127.25541899668575
8,0.2047378556133368,127.42991118374876
9,0.2303300875650039,127.52065487376176
10,0.255922319516671,127.61725447296813
11,0.2815145514683381,127.75524474536132
12,0.3071067834200052,127.89843641546365
13,0.3326990153716723,128.14230526843224
14,0.3582912473233394,128.4051562157479
15,0.3838834792750065,128.61059922708117
16,0.4094757112266736,128.82029092655625
17,0.4350679431783407,129.05695934936475
18,0.4606601751300078,129.2825352215418
19,0.4862524070816749,129.54669838007973
20,0.511844639033342,129.74094884181406
21,0.537436870985009,129.8106961997499
22,0.5630291029366761,129.82205301006923
23,0.5886213348883431,129.89047647871564
24,0.6142135668400102,130.08224230325413
25,0.6398057987916772,130.3762212442857
26,0.6653980307433442,130.68075462755385
27,0.6909902626950113,130.91013517996356
28,0.7165824946466783,131.00402913455278
29,0.7421747265983454,130.9618790707905
30,0.7677669585500124,130.9434300708748
31,0.7933591905016795,130.94190215899732
32,0.8189514224533465,130.9264991602198
33,0.8445436544050136,130.84232504645846
34,0.8701358863566806,130.81687804715924
35,0.8957281183083476,130.83261250294967
36,0.9213203502600147,130.9033852176638
37,0.9469125822116817,131.04342266212427
38,0.9725048141633488,131.19764797642276
39,0.9980970461150158,131.32966037251276
40,1.0236892780666829,131.47788120046332
41,1.04928151001835,131.64616509680542
42,1.074873741970017,131.61858915992977
43,1.100465973921684,131.3785455768014
44,1.126058205873351,130.98227752520563
45,1.151650437825018,130.6375493474357
46,1.1772426697766851,130.46526051130803
47,1.2028349017283522,130.54251858046013
48,1.2284271336800192,130.67478353448516
49,1.2540193656316863,130.77029327602853
50,1.2796115975833533,130.7267898436395
51,1.3052038295350203,130.64210595273656
52,1.3307960614866874,130.60740373890292
53,1.3563882934383544,130.6564481481777
54,1.3819805253900215,130.76719188142243
55,1.4075727573416885,130.82641032785043
56,1.4331649892933556,130.7948667117039
57,1.4587572212450226,130.72057720997398
58,1.4843494531966896,130.65801040635722
59,1.5099416851483567,130.6355167102441
60,1.5355339171000237,130.6175829359901
61,1.5611261490516908,130.58203344000404
62,1.5867183810033578,130.54764749122597
63,1.6123106129550249,130.54839214461992
64,1.637902844906692,130.59861583676633
65,1.663495076858359,130.68376022327323
66,1.689087308810026,130.77636592923386
67,1.714679540761693,130.90285507787655
68,1.74027177271336,131.0536552904555
69,1.7658640046650271,131.2170220973614
70,1.7914562366166942,131.4179808647698
71,1.8170484685683612,131.60742894722625
72,1.8426407005200283,131.7776398031565
73,1.8682329324716953,131.93848422519463
74,1.8938251644233624,132.07420627051695
75,1.9194173963750294,132.31651581488092
76,1.9450096283266964,132.56503051948295
77,1.9706018602783635,132.8687562828336
78,1.9961940922300305,133.20407869135377
79,2.0217863241816976,133.62086187294182
80,2.047378556133365,134.01481034892913
81,2.072970788085032,134.3147564163713
82,2.0985630200366994,134.5392299111456
83,2.1241552519883666,134.640679145254
84,2.149747483940034,134.7016032051664
85,2.175339715891701,134.7929101101667
86,2.2009319478433684,134.95718273741042
87,2.2265241797950357,135.2030133386616
88,2.252116411746703,135.48824524047564
89,2.2777086436983702,135.74064872693225
90,2.3033008756500375,135.96555791382752
91,2.3288931076017048,136.13441288195196
92,2.354485339553372,136.19748153336135
93,2.3800775715050393,136.35353764283735
94,2.4056698034567066,136.60925051984128
95,2.431262035408374,136.9868497493151
96,2.456854267360041,137.48960255375908
97,2.4824464993117084,138.16404670810638
98,2.5080387312633756,138.83179165654002
99,2.533630963215043,139.36084145910226
100,2.55922319516671,139.6800758776173
101,2.5848154271183774,139.78225737783444
102,2.6104076590700447,139.8409439083174
103,2.635999891021712,140.06835909403299
104,2.661592122973379,140.4293951984043
105,2.6871843549250465,140.85690375359692
106,2.7127765868767137,141.2313973259722
107,2.738368818828381,141.5283244427396
108,2.7639610507800483,141.74925249112175
109,2.7895532827317155,141.89604428012342
110,2.815145514683383,141.98896196426523
111,2.84073774663505,142.03621895301364
112,2.8663299785867173,142.1972940489373
113,2.8919222105383846,142.7842891218292
114,2.917514442490052,143.59636554322927
115,2.943106674441719,144.35164556632702
116,2.9686989063933864,144.83193727199347
117,2.9942911383450537,145.07033459594808
118,3.019883370296721,145.1952976202497
119,3.045475602248388,145.33675717850406
120,3.0710678342000555,145.5439136254854
121,3.0966600661517227,145.7443316652174
122,3.12225229810339,145.90202002785637
123,3.1478445300550573,146.0945449388541
124,3.1734367620067245,146.31670308960958
125,3.199028993958392,146.49253503460375
